,Month,Residential buildings completion (No.)
0,1995M01,2253
1,1995M02,2198
2,1995M03,2328
3,1995M04,1525
4,1995M05,1968
5,1995M06,2521
6,1995M07,726
7,1995M08,1352
8,1995M09,1772
9,1995M10,2221
10,1995M11,2711
11,1995M12,2951
12,1996M01,1949
13,1996M02,1354
14,1996M03,1579
15,1996M04,1651
16,1996M05,2157
17,1996M06,2066
18,1996M07,788
19,1996M08,1170
20,1996M09,1387
21,1996M10,1748
22,1996M11,2123
23,1996M12,3400
24,1997M01,1889
25,1997M02,1721
26,1997M03,1811
27,1997M04,2238
28,1997M05,2304
29,1997M06,2820
30,1997M07,1458
31,1997M08,1819
32,1997M09,1759
33,1997M10,2021
34,1997M11,2537
35,1997M12,4578
36,1998M01,2395
37,1998M02,2507
38,1998M03,2832
39,1998M04,2232
40,1998M05,2222
41,1998M06,3127
42,1998M07,1833
43,1998M08,2073
44,1998M09,1704
45,1998M10,2397
46,1998M11,2922
47,1998M12,4285
48,1999M01,2351
49,1999M02,2587
50,1999M03,2984
51,1999M04,2139
52,1999M05,1952
53,1999M06,3265
54,1999M07,1303
55,1999M08,2229
56,1999M09,2200
57,1999M10,2747
58,1999M11,2680
59,1999M12,4100
60,2000M01,2801
61,2000M02,2773
62,2000M03,2992
63,2000M04,2707
64,2000M05,2737
65,2000M06,3609
66,2000M07,2140
67,2000M08,2782
68,2000M09,2554
69,2000M10,2079
70,2000M11,2992
71,2000M12,4794
72,2001M01,2928
73,2001M02,2714
74,2001M03,3081
75,2001M04,2476
76,2001M05,2622
77,2001M06,3880
78,2001M07,1820
79,2001M08,2369
80,2001M09,2260
81,2001M10,1986
82,2001M11,2702
83,2001M12,3468
84,2002M01,2486
85,2002M02,2324
86,2002M03,2398
87,2002M04,2187
88,2002M05,2736
89,2002M06,3588
90,2002M07,1591
91,2002M08,2169
92,2002M09,2416
93,2002M10,2017
94,2002M11,2147
95,2002M12,3295
96,2003M01,2090
97,2003M02,1856
98,2003M03,2094
99,2003M04,1917
100,2003M05,2594
101,2003M06,3991
102,2003M07,1853
103,2003M08,2354
104,2003M09,2409
105,2003M10,2878
106,2003M11,2501
107,2003M12,3545
108,2004M01,2025
109,2004M02,2583
110,2004M03,2693
111,2004M04,2580
112,2004M05,2517
113,2004M06,4204
114,2004M07,2130
115,2004M08,2681
116,2004M09,2336
117,2004M10,2522
118,2004M11,2763
119,2004M12,3938
120,2005M01,2581
121,2005M02,2482
122,2005M03,2224
123,2005M04,2868
124,2005M05,2934
125,2005M06,4493
126,2005M07,1835
127,2005M08,2632
128,2005M09,2948
129,2005M10,2006
130,2005M11,2421
131,2005M12,3797
132,2006M01,2229
133,2006M02,2610
134,2006M03,2828
135,2006M04,2263
136,2006M05,2796
137,2006M06,4859
138,2006M07,1417
139,2006M08,3008
140,2006M09,2933
141,2006M10,2924
142,2006M11,2592
143,2006M12,3103
144,2007M01,2668
145,2007M02,2527
146,2007M03,3616
147,2007M04,2621
148,2007M05,2794
149,2007M06,3989
150,2007M07,1993
151,2007M08,2957
152,2007M09,2593
153,2007M10,3341
154,2007M11,2712
155,2007M12,3432
156,2008M01,2131
157,2008M02,2461
158,2008M03,2416
159,2008M04,2453
160,2008M05,2535
161,2008M06,4089
162,2008M07,1814
163,2008M08,2753
164,2008M09,2830
165,2008M10,2210
166,2008M11,2318
167,2008M12,2984
168,2009M01,2043
169,2009M02,1748
170,2009M03,2299
171,2009M04,1732
172,2009M05,1957
173,2009M06,2830
174,2009M07,1124
175,2009M08,1612
176,2009M09,1663
177,2009M10,1483
178,2009M11,1570
179,2009M12,1982
180,2010M01,1364
181,2010M02,1676
182,2010M03,1598
183,2010M04,1653
184,2010M05,1759
185,2010M06,2778
186,2010M07,1289
187,2010M08,2693
188,2010M09,2114
189,2010M10,2236
190,2010M11,2506
191,2010M12,3400
192,2011M01,2693
193,2011M02,2567
194,2011M03,2284
195,2011M04,2221
196,2011M05,3120
197,2011M06,3841
198,2011M07,1761
199,2011M08,2868
200,2011M09,2650
201,2011M10,2311
202,2011M11,2846
203,2011M12,4162
204,2012M01,2561
205,2012M02,2489
206,2012M03,2499
207,2012M04,2483
208,2012M05,3058
209,2012M06,3882
210,2012M07,1644
211,2012M08,3192
212,2012M09,2683
213,2012M10,2554
214,2012M11,3070
215,2012M12,3498
216,2013M01,2113
217,2013M02,2122
218,2013M03,2448
219,2013M04,2123
220,2013M05,2366
221,2013M06,3215
222,2013M07,1360
223,2013M08,2987
224,2013M09,2642
225,2013M10,2357
226,2013M11,3092
227,2013M12,3285
228,2014M01,2107
229,2014M02,1877
230,2014M03,2152
231,2014M04,1928
232,2014M05,2460
233,2014M06,4288
234,2014M07,1034
235,2014M08,2818
236,2014M09,1868
237,2014M10,2769
238,2014M11,2344
239,2014M12,3512
240,2015M01,1872
241,2015M02,1622
242,2015M03,2040
243,2015M04,1864
244,2015M05,2147
245,2015M06,3578
246,2015M07,1192
247,2015M08,2999
248,2015M09,2397
249,2015M10,2221
250,2015M11,2408
251,2015M12,3113
252,2016M01,1307
253,2016M02,2056
254,2016M03,1943
255,2016M04,1259
256,2016M05,2287
257,2016M06,3732
258,2016M07,1571
259,2016M08,3346
260,2016M09,3048
261,2016M10,1983
262,2016M11,3763
263,2016M12,3717
264,2017M01,2178
265,2017M02,2354
266,2017M03,2531
267,2017M04,2441
268,2017M05,2754
269,2017M06,4305
270,2017M07,1230
271,2017M08,4367
272,2017M09,2864
273,2017M10,2968
274,2017M11,3289
275,2017M12,3853
276,2018M01,2178
277,2018M02,2684
278,2018M03,3582
279,2018M04,2577
280,2018M05,2973
281,2018M06,5142
282,2018M07,2643
283,2018M08,4312
284,2018M09,3785
285,2018M10,3975
286,2018M11,3622
287,2018M12,4983
288,2019M01,2570
289,2019M02,3681
290,2019M03,2844
291,2019M04,2732
292,2019M05,3135
293,2019M06,4602
294,2019M07,1474
295,2019M08,4902
296,2019M09,2970
297,2019M10,4408
298,2019M11,4074
299,2019M12,5210
300,2020M01,2805
301,2020M02,2464
302,2020M03,2622
303,2020M04,2039
304,2020M05,2466
305,2020M06,4408
306,2020M07,2557
307,2020M08,4385
308,2020M09,3484
309,2020M10,3328
310,2020M11,3511
311,2020M12,4474
312,2021M01,1901
313,2021M02,2532
314,2021M03,2859
315,2021M04,2295
316,2021M05,2450
317,2021M06,4311
318,2021M07,1711
319,2021M08,4488
320,2021M09,3036
321,2021M10,3896
322,2021M11,3137
323,2021M12,4600
324,2022M01,2488
325,2022M02,2111
326,2022M03,2986
327,2022M04,2635
328,2022M05,3150
329,2022M06,5779
330,2022M07,1188
331,2022M08,3535
332,2022M09,4274
333,2022M10,4466
334,2022M11,3809
335,2022M12,5031
336,2023M01,3780
337,2023M02,2743
